,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
41,岩田地崎建設株式会社 | 《 9連休取得も可能》エリア限定採用！本人の望まない転勤なし！,＜北海道／東京／大阪／東北＞勤務【 施工管理(建築・土木)】 正社員,正社員,《都市の再開発、次世代交通インフラの整備など、幅広い分野の現場が進行中！》経験や希望に応じて建築、または土木の施工管理をお任せします！,◎施工管理の経験者 ◎向上心のある方 ◆施工管理技士(建築・土木・電気工事)、建築士、技術士の有資格者は優遇！取得を目指したい方も歓迎！,◎U・Iターン歓迎 ◎現場へは直行直帰となります 【北海道本店】北海道札幌市中央区北2条東17丁目…,"月給220,000円〜＋手当＋賞与年2回 ※東京・大阪支店は都市手当あり ※修士了の場合、月給240,000円〜 …"
42,株式会社ウィルオブ・コンストラクション | 満足度94％の少人数制オリジナル研修あり！20代男性活躍中★,未経験でも月給21~30万円【プロジェクト管理スタッフ】賞与年2回 正社員,正社員,【未経験から大規模プロジェクトに携われる】建築・建設現場のプロジェクト管理や事務等、まずは施工管理技術者のサポートをお任せ☆1都3県の案件あり,【学歴不問/第二新卒歓迎】☆一生モノのスキルが身につく☆◆35歳以下 ◆簡単な文字入力程度のPCスキル《無料社宅・帰省手当など福利厚生も充実》,《転勤なし&勤務地は全国47都道府県！》☆無料社宅あり 北海道 青森、岩手、宮城、秋田、山形、福島…,"◆関東：月給25万円〜30万円(固定残業代46,000円〜55,000円／30時間分含む) ◆中部・関西：月給24万円〜…"
43,ヘイ株式会社 | 正社員登用実績有★70億超の資金調達★すごいベンチャー100選出,<仙台限定>メール・電話対応等の【受付事務スタッフ】★完休2日 契約社員,契約社員,【研修＆教育体制も抜群！】コロナ禍で需要拡大！今、注目のECサイト作成サービス『STORES』を始め、当社Webサービスの運営サポート業務をお任せ,<20～30代が活躍中！>◎基本的なPC操作スキル◎ビジネスメール作成 ★「SNSが好き」「ネットショッピングが好き」など、あなたの『好き』が活かせます,【転勤ナシ／勾当台公園駅より徒歩5分♪】 宮城県仙台市青葉区国分町3丁目1-11 定禅寺通スクエア…,【月給】25万円〜 ※経験・能力に応じて当社規定により優遇します。 ※試用期間3ヵ月あり(給与の変動な…
44,株式会社YKP建築設計コンサルタント | ★雄健工業グループ/大阪府緊急雇用対策に賛同 ★中途入社率95％,【設計スタッフ】★未経験入社も多数 ★年休123日 ★土日祝休み 正社員,正社員,◆大型商業施設や空港、病院などの自走式立体駐車場のほか、駐車場付き大型施設・店舗・ショールームなどの建築・意匠設計をお任せします。,＜第二新卒歓迎・学歴不問・実務未経験歓迎！＞ ◆建築・設計の基礎知識がある方（学校等で設計を学んだ方・CADオペ経験者歓迎）★研修充実,★転勤無し・U/Iターン歓迎★ ※勤務地は希望を考慮します！ ※広島はオープニングメンバーの募集！…,経験者：月給25万〜45万円 未経験者：月給20万〜25万円 ※前職の給与を最大限考慮します！ ※経験・年齢…
45,税理士法人 財務プランニング | 《総クライアント数・宮城トップクラス！》☆未経験者OK！,知識や経験を積み人生を豊かに！【税務アシスタント】☆転勤なし 正社員,正社員,クライアントとなる地場企業に訪問し、申告業務や巡回監査などをお願いします。★社内研修や月1面談など、フォロー体制も整っています！,【営業経験をお持ちの方を歓迎！】◎要普通免許 ◎税理士事務所での経験をお持ちの方は優遇！ ★人柄重視！収入やスキルアップをめざす方必見です！,【転勤なし／U・Iターン希望者歓迎】 ■本社 宮城県仙台市青葉区錦町2丁目4番13号 サンライズビ…,"月給：220,000円〜500,000円 ※経験や能力やスキルを考慮し、当事務所規定により優遇いたします ※上記給…"
46,株式会社和建 | 設立54年！全国トップクラスのシェア＆安定基盤！残業ほぼなし！,街づくりを支える建設資材を提案する【ルート営業】年休約125日 正社員,正社員,既存のお客様に対して、仮設資材のレンタル・リース・販売などを提案するルート営業です。★入社後はビジネスマナーから学べる研修を用意しています！,【先輩も全員が未経験からのスタート！】◎意欲重視の採用です！接客や販売員など様々な経歴を持つ社員が在籍！20・30代の若手も活躍中です。,大阪・千葉・福岡で積極採用中！ 大阪（本社）、千葉、愛知、香川、福岡、広島、宮城のいずれかに配属。…,月給22万円〜32万円 ※経験・能力・年齢を考慮の上、優遇いたします ※試用期間6ヶ月
47,NSK株式会社 | 安定のプラスグループ/年120休(基本土日祝休)/モバイルワークOK,企業を支えるITインフラ、内装設備を構築 【施工管理スタッフ】 正社員,正社員,【お休み充実♪】オフィスビルや商業施設などのネットワークの設計・構築・施工管理業務をお任せします。★直行直帰＆モバイルワークOK！,【あなたの経験・スキルを高く評価します】応募条件／インフラ設計・構築や施工管理の経験者(目安3年以上) ★要自動車免許(AT限可)★,※ＵIターン歓迎♪東京・仙台・名古屋で大募集！ 希望の勤務地を考慮し配属します！ ■東京本社 東京…,月給28万円〜50万円＋手当＋賞与年2回（昨年実績3.2ヶ月分） ※経験・年齢・スキルを最大限に考慮し、当…
48,株式会社ビービーシー | <コロナの影響なし！安定成長中>★有休取得率87％,ニーズ拡大中☆自社パッケージソフトの【提案営業】☆土日祝休 正社員,正社員,<反響営業がメイン>社会福祉協議会、行政などの公的機関へ当社の『地域後見システム』を提案。販促から営業・納品後の導入支援まで幅広く携われます！,<業界経験不問>◆Word・Excel・PowerPointスキル◎成年後見や相続への興味・関心、法律知識を身に付けたい方◎お客様の役に立つ商材を提案したい方等,【転勤なし／U・Iターン歓迎】★西新宿駅直結！ 東京本社／東京都新宿区西新宿6-5-1 新宿アイラ…,月給28万円〜50万円＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間3ヶ月、その間の待…
49,株式会社キャリアマート,20代活躍中！中途採用に関する【提案営業】＜年間休日121日＞ 正社員,正社員,20代活躍！中途採用に関する提案営業＜年間休日121日＞,＜人柄重視＞営業経験・業界経験は不問です！,・東京本社 東京都新宿区西新宿7-3-4 アソルティ西新宿ビル5階 ・仙台BPOセンター 宮城県仙…,"月給25万円以上＋インセンティブ(業績連動) ※みなし残業代（35時間分：53,200円以上）を含みます。 　時…"
50,佐川印刷株式会社 | ◇創業50年◇大手物流会社・上場企業と多数の取引実績あり◇,紙媒体の印刷を軸に様々なメディアを扱う【営業】★勤務地別採用 正社員,正社員,パンフレットなど紙媒体の印刷物を軸にWebや映像、文具・備品・ノベルティ―・リアルイベントなど、企業の広報に貢献するソリューションの提案,【学歴・経験は一切不問】◆第二新卒OK！企業コミュニケーションや情報発信に携わってみたい方、広告・印刷に興味がある方は歓迎◆要普免（AT限定可）,《札幌、仙台、盛岡、秋田、新潟、横浜、小牧、金沢で積極的採用中！》 ※希望を考慮の上、いずれかに配…,月給20万円以上 ※試用期間6ヵ月あり(条件同一) ※残業代は別途支給します（実計算） ※能力・経験を考慮…
